appendix,appendix_file,chapter,chapter_title,operationalization
E,Appendix_E_DECOMPOSE_Record_Template.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",full record template
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",valid/invalid patterns
M,Appendix_M_Case_and_Countercase_Index.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",case files
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,21,Decomposing Operator-Typed Occurrences,operator-family stress tests
M,Appendix_M_Case_and_Countercase_Index.md,21,Decomposing Operator-Typed Occurrences,case details
E,Appendix_E_DECOMPOSE_Record_Template.md,22,Decomposing Composite Structures,detailed composition maps
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,22,Decomposing Composite Structures,profile stress tests
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,22,Decomposing Composite Structures,remainder cases
B,Appendix_B_Formal_Notation.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",temporal notation
E,Appendix_E_DECOMPOSE_Record_Template.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",record details
I,Appendix_I_Boundary_and_Confusion_Cases.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",confusion cases
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,24,Decomposing Paths and Trajectories,complex trajectory cases
I,Appendix_I_Boundary_and_Confusion_Cases.md,24,Decomposing Paths and Trajectories,confusion patterns
M,Appendix_M_Case_and_Countercase_Index.md,24,Decomposing Paths and Trajectories,case records
G,Appendix_G_Admissibility_Band_Tests.md,25,"Resolution Gain, Neutrality, Drift, and Escape",test matrix
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,25,"Resolution Gain, Neutrality, Drift, and Escape",invalid patterns
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,25,"Resolution Gain, Neutrality, Drift, and Escape",source/remainder cases
I,Appendix_I_Boundary_and_Confusion_Cases.md,26,The Boundary between SUB and RETYPE,decision tree examples
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,26,The Boundary between SUB and RETYPE,pattern catalogue
G,Appendix_G_Admissibility_Band_Tests.md,27,SUB Boundary Conditions,test matrices
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,27,SUB Boundary Conditions,invalid patterns
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,27,SUB Boundary Conditions,remainder cases
M,Appendix_M_Case_and_Countercase_Index.md,28,"SUB Cases, Countercases, and Local Audit",index
N,Appendix_N_Integrated_STRATA_Audit_Template.md,28,"SUB Cases, Countercases, and Local Audit",audit form
A,Appendix_A_Core_Definitions.md,29,Functional Projection without Origin-Type Replacement,definitions
B,Appendix_B_Formal_Notation.md,29,Functional Projection without Origin-Type Replacement,notation
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,29,Functional Projection without Origin-Type Replacement,valid/invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,29,Functional Projection without Origin-Type Replacement,confusion cases
F,Appendix_F_PROJECT_AS_Record_Template.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",full record schema
B,Appendix_B_Formal_Notation.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",formal notation
G,Appendix_G_Admissibility_Band_Tests.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",test catalogue
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",invalid patterns
F,Appendix_F_PROJECT_AS_Record_Template.md,31,Trajectory as Frame-Function,family record examples
I,Appendix_I_Boundary_and_Confusion_Cases.md,31,Trajectory as Frame-Function,confusion patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,32,Trajectory as Macro-Event,periodization examples
F,Appendix_F_PROJECT_AS_Record_Template.md,32,Trajectory as Macro-Event,record details
B,Appendix_B_Formal_Notation.md,32,Trajectory as Macro-Event,notation
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,33,Recurrent Trajectory Form as Attractor-Function,recurrence tests
G,Appendix_G_Admissibility_Band_Tests.md,33,Recurrent Trajectory Form as Attractor-Function,calibration tests
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,34,Composite Structures as Higher-Level Functions,operator-family examples
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,34,Composite Structures as Higher-Level Functions,valid/invalid patterns
F,Appendix_F_PROJECT_AS_Record_Template.md,34,Composite Structures as Higher-Level Functions,records
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,35,"Operator Weighting, Modulation, and Emergent Functional Profiles",stress tests
I,Appendix_I_Boundary_and_Confusion_Cases.md,35,"Operator Weighting, Modulation, and Emergent Functional Profiles",person-typing countercases
I,Appendix_I_Boundary_and_Confusion_Cases.md,36,Competing Projections,full comparison examples
F,Appendix_F_PROJECT_AS_Record_Template.md,36,Competing Projections,records
M,Appendix_M_Case_and_Countercase_Index.md,36,Competing Projections,case index
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,37,"Projection, Structural Analogy, and Label Substitution",cross-domain stress tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,37,"Projection, Structural Analogy, and Label Substitution",valid/invalid mappings
I,Appendix_I_Boundary_and_Confusion_Cases.md,37,"Projection, Structural Analogy, and Label Substitution",cases
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,38,Invalid Type Jumps and Unmarked Level Mixing,invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,38,Invalid Type Jumps and Unmarked Level Mixing,confusion cases
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,38,Invalid Type Jumps and Unmarked Level Mixing,person-typing cases
G,Appendix_G_Admissibility_Band_Tests.md,39,RETYPE Boundary Conditions,full tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,39,RETYPE Boundary Conditions,invalid patterns
N,Appendix_N_Integrated_STRATA_Audit_Template.md,39,RETYPE Boundary Conditions,audit form
M,Appendix_M_Case_and_Countercase_Index.md,40,"RETYPE Cases, Countercases, and Local Audit",index
N,Appendix_N_Integrated_STRATA_Audit_Template.md,40,"RETYPE Cases, Countercases, and Local Audit",audit form
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,41,Why STRATA Must Bound Itself,valid/invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,41,Why STRATA Must Bound Itself,confusion cases
N,Appendix_N_Integrated_STRATA_Audit_Template.md,41,Why STRATA Must Bound Itself,integrated audit detail
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,42,No Ontology of Strata,non-equivalences
I,Appendix_I_Boundary_and_Confusion_Cases.md,42,No Ontology of Strata,borderline formulations
B,Appendix_B_Formal_Notation.md,42,No Ontology of Strata,notation detail
G,Appendix_G_Admissibility_Band_Tests.md,43,No Privilege of Finer Resolution or Higher Composition,comparison tests
I,Appendix_I_Boundary_and_Confusion_Cases.md,43,No Privilege of Finer Resolution or Higher Composition,granularity conflicts
G,Appendix_G_Admissibility_Band_Tests.md,44,Praxeological Relevance Floor,tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,44,Praxeological Relevance Floor,lower-bound patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,44,Praxeological Relevance Floor,case variants
G,Appendix_G_Admissibility_Band_Tests.md,45,Praxeological Traceability Ceiling,upper-bound tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,45,Praxeological Traceability Ceiling,valid/invalid traces
I,Appendix_I_Boundary_and_Confusion_Cases.md,45,Praxeological Traceability Ceiling,macro-label cases
G,Appendix_G_Admissibility_Band_Tests.md,46,Counterfactual Sensitivity,counterfactual tests
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,46,Counterfactual Sensitivity,stress patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,46,Counterfactual Sensitivity,case records
C,Appendix_C_Shared_Transformation_Record_Schema.md,47,"Reference, Type, and Function Continuity",formal matrix
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,47,"Reference, Type, and Function Continuity",valid/invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,47,"Reference, Type, and Function Continuity",chain cases
C,Appendix_C_Shared_Transformation_Record_Schema.md,48,Compression Loss and Reconstruction Selection,full schema
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,48,Compression Loss and Reconstruction Selection,loss patterns
C,Appendix_C_Shared_Transformation_Record_Schema.md,49,Source Limits and Calibration Limits,source/calibration records
B,Appendix_B_Formal_Notation.md,49,Source Limits and Calibration Limits,technical notes
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,50,Anti-Immunization,invalid patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,50,Anti-Immunization,escape and rescue cases
N,Appendix_N_Integrated_STRATA_Audit_Template.md,50,Anti-Immunization,audit fields
C,Appendix_C_Shared_Transformation_Record_Schema.md,51,Stop Conditions,full Stop schema
G,Appendix_G_Admissibility_Band_Tests.md,51,Stop Conditions,Stop patterns
I,Appendix_I_Boundary_and_Confusion_Cases.md,51,Stop Conditions,cases
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,52,Non-Capture,remainders
I,Appendix_I_Boundary_and_Confusion_Cases.md,52,Non-Capture,cases
C,Appendix_C_Shared_Transformation_Record_Schema.md,52,Non-Capture,record schema
N,Appendix_N_Integrated_STRATA_Audit_Template.md,53,Integrated STRATA Admissibility Audit,full audit template
G,Appendix_G_Admissibility_Band_Tests.md,53,Integrated STRATA Admissibility Audit,tests
M,Appendix_M_Case_and_Countercase_Index.md,53,Integrated STRATA Admissibility Audit,case index
B,Appendix_B_Formal_Notation.md,54,The Integrated STRATA Model,detailed notation
N,Appendix_N_Integrated_STRATA_Audit_Template.md,54,The Integrated STRATA Model,audit detail
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,56,What PMS-STRATA Does Not Provide,valid/invalid formulations
B,Appendix_B_Formal_Notation.md,FM-TERMINOLOGY-NOTATION,Terminology and Notation Note,full notation
