appendix,appendix_file,chapter,chapter_title,migration_clause
B,Appendix_B_Formal_Notation.md,11,Trajectory,notation to Appendix B
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,12,Path Dependence and Sedimentation,extended stress tests to Appendix J
G,Appendix_G_Admissibility_Band_Tests.md,12,Path Dependence and Sedimentation,counterfactual forms to Appendix G
M,Appendix_M_Case_and_Countercase_Index.md,12,Path Dependence and Sedimentation,case index material to Appendix M
G,Appendix_G_Admissibility_Band_Tests.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",large counterfactual case sets to Appendix G
I,Appendix_I_Boundary_and_Confusion_Cases.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",confusion patterns to Appendix I
M,Appendix_M_Case_and_Countercase_Index.md,13,"Branches, Aborts, Delays, and Unavailable Alternatives",case index to Appendix M
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,14,Non-Events within Paths and Trajectories,expanded Λ patterns to Appendix J
D,Appendix_D_COMPOSE_Record_Template.md,14,Non-Events within Paths and Trajectories,record template detail to Appendix D
I,Appendix_I_Boundary_and_Confusion_Cases.md,14,Non-Events within Paths and Trajectories,countercases to Appendix I
D,Appendix_D_COMPOSE_Record_Template.md,15,"COMPOSE: Selection, Formation, and Compression",full record template to Appendix D
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,15,"COMPOSE: Selection, Formation, and Compression",pattern catalogue to Appendix H
M,Appendix_M_Case_and_Countercase_Index.md,15,"COMPOSE: Selection, Formation, and Compression",case files to Appendix M
G,Appendix_G_Admissibility_Band_Tests.md,16,PATH Boundary Conditions,expanded boundary tests to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,16,PATH Boundary Conditions,invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,16,PATH Boundary Conditions,confusion cases to Appendix I
M,Appendix_M_Case_and_Countercase_Index.md,17,"PATH Cases, Countercases, and Local Audit",index to Appendix M
N,Appendix_N_Integrated_STRATA_Audit_Template.md,17,"PATH Cases, Countercases, and Local Audit",audit form to Appendix N
A,Appendix_A_Core_Definitions.md,18,The Provisionally Compressed Object,expanded source-object types to Appendix A
E,Appendix_E_DECOMPOSE_Record_Template.md,18,The Provisionally Compressed Object,record details to Appendix E
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,18,The Provisionally Compressed Object,non-operator remainder issues to Appendix L
B,Appendix_B_Formal_Notation.md,19,Granularity Change and the Logic of Decomposition,formal notation to Appendix B
I,Appendix_I_Boundary_and_Confusion_Cases.md,19,Granularity Change and the Logic of Decomposition,comparative examples to Appendix I
G,Appendix_G_Admissibility_Band_Tests.md,19,Granularity Change and the Logic of Decomposition,boundary tests to Appendix G
E,Appendix_E_DECOMPOSE_Record_Template.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",full record template to Appendix E
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",valid/invalid patterns to Appendix H
M,Appendix_M_Case_and_Countercase_Index.md,20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements",case files to Appendix M
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,21,Decomposing Operator-Typed Occurrences,expanded operator-family stress tests to Appendix J
M,Appendix_M_Case_and_Countercase_Index.md,21,Decomposing Operator-Typed Occurrences,case details to Appendix M
E,Appendix_E_DECOMPOSE_Record_Template.md,22,Decomposing Composite Structures,detailed composition maps to Appendix E
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,22,Decomposing Composite Structures,profile stress tests to Appendix J
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,22,Decomposing Composite Structures,remainder cases to Appendix L
B,Appendix_B_Formal_Notation.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",temporal notation to Appendix B
E,Appendix_E_DECOMPOSE_Record_Template.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",record details to Appendix E
I,Appendix_I_Boundary_and_Confusion_Cases.md,23,"Decomposing Events, Non-Events, and Internal Temporal Structures",confusion cases to Appendix I
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,24,Decomposing Paths and Trajectories,complex trajectory cases to Appendix J
I,Appendix_I_Boundary_and_Confusion_Cases.md,24,Decomposing Paths and Trajectories,confusion patterns to Appendix I
M,Appendix_M_Case_and_Countercase_Index.md,24,Decomposing Paths and Trajectories,case records to Appendix M
G,Appendix_G_Admissibility_Band_Tests.md,25,"Resolution Gain, Neutrality, Drift, and Escape",test matrix to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,25,"Resolution Gain, Neutrality, Drift, and Escape",invalid patterns to Appendix H
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,25,"Resolution Gain, Neutrality, Drift, and Escape",source/remainder cases to Appendix L
I,Appendix_I_Boundary_and_Confusion_Cases.md,26,The Boundary between SUB and RETYPE,decision tree examples to Appendix I
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,26,The Boundary between SUB and RETYPE,pattern catalogue to Appendix H
G,Appendix_G_Admissibility_Band_Tests.md,27,SUB Boundary Conditions,test matrices to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,27,SUB Boundary Conditions,invalid patterns to Appendix H
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,27,SUB Boundary Conditions,remainder cases to Appendix L
M,Appendix_M_Case_and_Countercase_Index.md,28,"SUB Cases, Countercases, and Local Audit",index to Appendix M
N,Appendix_N_Integrated_STRATA_Audit_Template.md,28,"SUB Cases, Countercases, and Local Audit",audit form to Appendix N
A,Appendix_A_Core_Definitions.md,29,Functional Projection without Origin-Type Replacement,extended definitions to Appendix A
B,Appendix_B_Formal_Notation.md,29,Functional Projection without Origin-Type Replacement,notation to Appendix B
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,29,Functional Projection without Origin-Type Replacement,valid/invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,29,Functional Projection without Origin-Type Replacement,confusion cases to Appendix I
F,Appendix_F_PROJECT_AS_Record_Template.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",full record schema to Appendix F
B,Appendix_B_Formal_Notation.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",formal notation to Appendix B
G,Appendix_G_Admissibility_Band_Tests.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",test catalogue to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,30,"PROJECT_AS: Signature, Context, and Validity Scope",invalid patterns to Appendix H
F,Appendix_F_PROJECT_AS_Record_Template.md,31,Trajectory as Frame-Function,family record examples to Appendix F
I,Appendix_I_Boundary_and_Confusion_Cases.md,31,Trajectory as Frame-Function,confusion patterns to Appendix I
I,Appendix_I_Boundary_and_Confusion_Cases.md,32,Trajectory as Macro-Event,extended periodization examples to Appendix I
F,Appendix_F_PROJECT_AS_Record_Template.md,32,Trajectory as Macro-Event,record details to Appendix F
B,Appendix_B_Formal_Notation.md,32,Trajectory as Macro-Event,notation to Appendix B
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,33,Recurrent Trajectory Form as Attractor-Function,extended recurrence tests to Appendix J
G,Appendix_G_Admissibility_Band_Tests.md,33,Recurrent Trajectory Form as Attractor-Function,calibration tests to Appendix G
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,34,Composite Structures as Higher-Level Functions,extended operator-family examples to Appendix J
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,34,Composite Structures as Higher-Level Functions,valid/invalid patterns to Appendix H
F,Appendix_F_PROJECT_AS_Record_Template.md,34,Composite Structures as Higher-Level Functions,records to Appendix F
J,Appendix_J_Operator_Weighting_and_Trajectory_Stress_Tests.md,35,"Operator Weighting, Modulation, and Emergent Functional Profiles",extended stress tests to Appendix J
I,Appendix_I_Boundary_and_Confusion_Cases.md,35,"Operator Weighting, Modulation, and Emergent Functional Profiles",person-typing countercases to Appendix I
I,Appendix_I_Boundary_and_Confusion_Cases.md,36,Competing Projections,full comparison examples to Appendix I
F,Appendix_F_PROJECT_AS_Record_Template.md,36,Competing Projections,records to Appendix F
M,Appendix_M_Case_and_Countercase_Index.md,36,Competing Projections,case index to Appendix M
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,37,"Projection, Structural Analogy, and Label Substitution",cross-domain stress tests to Appendix K
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,37,"Projection, Structural Analogy, and Label Substitution",valid/invalid mappings to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,37,"Projection, Structural Analogy, and Label Substitution",cases to Appendix I
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,38,Invalid Type Jumps and Unmarked Level Mixing,extended invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,38,Invalid Type Jumps and Unmarked Level Mixing,confusion cases to Appendix I
K,Appendix_K_Cross_Domain_Projection_and_Analogy_Stress_Tests.md,38,Invalid Type Jumps and Unmarked Level Mixing,person-typing cases to Appendix K or L as appropriate
G,Appendix_G_Admissibility_Band_Tests.md,39,RETYPE Boundary Conditions,full tests to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,39,RETYPE Boundary Conditions,invalid patterns to Appendix H
N,Appendix_N_Integrated_STRATA_Audit_Template.md,39,RETYPE Boundary Conditions,audit form to Appendix N
M,Appendix_M_Case_and_Countercase_Index.md,40,"RETYPE Cases, Countercases, and Local Audit",index to Appendix M
N,Appendix_N_Integrated_STRATA_Audit_Template.md,40,"RETYPE Cases, Countercases, and Local Audit",audit form to Appendix N
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,41,Why STRATA Must Bound Itself,expanded valid/invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,41,Why STRATA Must Bound Itself,confusion cases to Appendix I
N,Appendix_N_Integrated_STRATA_Audit_Template.md,41,Why STRATA Must Bound Itself,integrated audit detail to Appendix N
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,42,No Ontology of Strata,extended non-equivalences to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,42,No Ontology of Strata,borderline formulations to Appendix I
B,Appendix_B_Formal_Notation.md,42,No Ontology of Strata,notation detail to Appendix B
G,Appendix_G_Admissibility_Band_Tests.md,43,No Privilege of Finer Resolution or Higher Composition,extended comparison tests to Appendix G
I,Appendix_I_Boundary_and_Confusion_Cases.md,43,No Privilege of Finer Resolution or Higher Composition,granularity conflicts to Appendix I
G,Appendix_G_Admissibility_Band_Tests.md,44,Praxeological Relevance Floor,extended tests to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,44,Praxeological Relevance Floor,lower-bound patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,44,Praxeological Relevance Floor,case variants to Appendix I
G,Appendix_G_Admissibility_Band_Tests.md,45,Praxeological Traceability Ceiling,extended upper-bound tests to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,45,Praxeological Traceability Ceiling,valid/invalid traces to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,45,Praxeological Traceability Ceiling,macro-label cases to Appendix I
G,Appendix_G_Admissibility_Band_Tests.md,46,Counterfactual Sensitivity,extended counterfactual tests to Appendix G
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,46,Counterfactual Sensitivity,stress patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,46,Counterfactual Sensitivity,case records to Appendix I
C,Appendix_C_Shared_Transformation_Record_Schema.md,47,"Reference, Type, and Function Continuity",formal matrix to Appendix C
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,47,"Reference, Type, and Function Continuity",valid/invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,47,"Reference, Type, and Function Continuity",chain cases to Appendix I
C,Appendix_C_Shared_Transformation_Record_Schema.md,48,Compression Loss and Reconstruction Selection,full schema to Appendix C
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,48,Compression Loss and Reconstruction Selection,loss patterns to Appendix H
C,Appendix_C_Shared_Transformation_Record_Schema.md,49,Source Limits and Calibration Limits,source/calibration records to Appendix C
B,Appendix_B_Formal_Notation.md,49,Source Limits and Calibration Limits,technical notes to Appendix B
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,50,Anti-Immunization,invalid patterns to Appendix H
I,Appendix_I_Boundary_and_Confusion_Cases.md,50,Anti-Immunization,escape and rescue cases to Appendix I
N,Appendix_N_Integrated_STRATA_Audit_Template.md,50,Anti-Immunization,audit fields to Appendix N
C,Appendix_C_Shared_Transformation_Record_Schema.md,51,Stop Conditions,full Stop schema to Appendix C
G,Appendix_G_Admissibility_Band_Tests.md,51,Stop Conditions,Stop patterns to Appendix G/H
I,Appendix_I_Boundary_and_Confusion_Cases.md,51,Stop Conditions,cases to Appendix I
L,Appendix_L_Non_Operator_Remainders_and_Decomposition_Limits.md,52,Non-Capture,extended remainders to Appendix L
I,Appendix_I_Boundary_and_Confusion_Cases.md,52,Non-Capture,cases to Appendix I
C,Appendix_C_Shared_Transformation_Record_Schema.md,52,Non-Capture,record schema to Appendix C
N,Appendix_N_Integrated_STRATA_Audit_Template.md,53,Integrated STRATA Admissibility Audit,full audit template to Appendix N
G,Appendix_G_Admissibility_Band_Tests.md,53,Integrated STRATA Admissibility Audit,extended tests to Appendix G
M,Appendix_M_Case_and_Countercase_Index.md,53,Integrated STRATA Admissibility Audit,case index to Appendix M
B,Appendix_B_Formal_Notation.md,54,The Integrated STRATA Model,detailed notation to Appendix B
N,Appendix_N_Integrated_STRATA_Audit_Template.md,54,The Integrated STRATA Model,audit detail to Appendix N
H,Appendix_H_Valid_and_Invalid_Transformation_Patterns.md,56,What PMS-STRATA Does Not Provide,valid/invalid formulations to Appendix H
B,Appendix_B_Formal_Notation.md,FM-TERMINOLOGY-NOTATION,Terminology and Notation Note,full notation to Appendix B and Glossary
