chapter,title,contract_example,coverage_status,closure_effect,existing_evidence,audit_note
11,Trajectory,"minimal_case: Compare a merely ordered path with a trajectory that shows accumulated asymmetry, persistent residue, and changed exit costs. restriction: The later contextual function of the trajectory remains unclaimed.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Trajectory burden and Attractor confusion are instantiated; legacy route confirmed.
12,Path Dependence and Sedimentation,"minimal_case: Hold the present configuration approximately constant while varying the prior path and show changed costs, roles, or credibility. restriction: Counterfactual variation must remain source-bounded.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Path-dependence and weaker order-dependence are distinguished; legacy route confirmed.
13,"Branches, Aborts, Delays, and Unavailable Alternatives","minimal_case: At one branch point classify one realized, one rejected, one blocked, and one later-lost continuation with evidence status. restriction: No free counterfactual storytelling.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Branch statuses are instantiated; legacy route confirmed.
14,Non-Events within Paths and Trajectories,"minimal_case: A documented expected decision repeatedly fails to occur; reconstruct the expectation frame, window, persistence, affected alternatives, and costs. restriction: Keep agency and blame underdetermined unless independently supported.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Positive and false central Non-Event cases are instantiated; legacy route confirmed.
15,"COMPOSE: Selection, Formation, and Compression","minimal_case: Compose configurations and transitions into a trajectory with explicit selection, ordering, formation, preserved load, compressed detail, excluded material, and irrecoverable loss. restriction: Include at least one alternative composition or no-composition option.",covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,"Selection, formation, compression, alternatives, and failure are instantiated; legacy route confirmed."
16,PATH Boundary Conditions,"minimal_case: Contrast an admissible trajectory, a chronology below the floor, and a macro-label above the ceiling using the same broad materials. restriction: Show claim reduction and mandatory stop where appropriate.",partially_covered,partially_admissible,C17 positive/below-floor/above-ceiling cases; Chapter 16 canonical boundary rules,"The boundary distinctions are present, but the exact same-broad-materials triad with a PATH-specific mandatory Stop is not independently consolidated. This remains non-lock-critical within the bounded provisional PATH surface."
17,"PATH Cases, Countercases, and Local Audit",minimal_case: Include at least the three lock-critical cases and one weak-path-dependence counterpressure. artifact_set: - Markdown case - YAML record - local audit result - canonical output mapping,covered,admissible_but_provisional,C17 case corpus; C17 legacy substantive overflight,Chapter-17 case catalogue and substantive overflight are complete; PATH remains bounded provisional.
18,The Provisionally Compressed Object,"minimal_case: Take a stable frame-typed occurrence and state what is known, compressed, unresolved, and why decomposition may alter the claim. restriction: Do not yet enumerate components as if already discovered.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Compressed source object and unresolved structure are explicit; legacy route confirmed.
19,Granularity Change and the Logic of Decomposition,"minimal_case: Open the same source object at a finer distinction set while keeping frame stable, then contrast a separate frame-change case. restriction: State expected praxis difference before analysis.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Granularity change and frame/new-PATH separation are instantiated; legacy route confirmed.
20,"DECOMPOSE: Conditions, Procedure, and Preservation Requirements","minimal_case: Decompose a trajectory or occurrence into supported components and relations, then classify the coarser source function. restriction: Include a no-gain or unsupported alternative.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Valid decomposition and unsupported alternative are instantiated; legacy route confirmed.
21,Decomposing Operator-Typed Occurrences,"minimal_case: Decompose one frame-typed or attractor-typed occurrence into reproduction practices, roles, non-events, temporal thresholds, and source-function effects. restriction: Preserve the distinction between occurrence and operator type.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Occurrence decomposition and operator-type prohibition are instantiated; legacy route confirmed.
22,Decomposing Composite Structures,"minimal_case: Open a distributed composite with one constitutive, one replaceable, one compensatory, and one incidental component, including an internal conflict. restriction: Explain how the coarse function persists or changes.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Distributed composite relations and source-function failure are instantiated; legacy route confirmed.
23,"Decomposing Events, Non-Events, and Internal Temporal Structures","minimal_case: Decompose an apparently single non-decision into deferrals, role shifts, information bottlenecks, and positive sub-events while preserving the expected non-occurrence. restriction: State where temporal detail ceases to add purchase.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Internal temporal structure and stopping pressure are instantiated; legacy route confirmed.
24,Decomposing Paths and Trajectories,"minimal_case: Open a trajectory into subpaths and transition clusters, then compare a rival periodization that should be classified as new PATH. restriction: Record irrecoverable compression explicitly.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Same-reference reopening and rival new-PATH boundary are instantiated; legacy route confirmed.
25,"Resolution Gain, Neutrality, Drift, and Escape","minimal_case: Classify four attempts on one source object as gain, neutral, drift, and escape, stating the changed or unchanged claim. restriction: At least one result must trigger mandatory stop.",partially_covered,partially_admissible,C28-GAIN-01; C17-RES-01; C28-OVERFINE-01; C28-ESCAPE-01,"Gain, neutrality, drift/escape, and mandatory Stop are instantiated, but not as the contract's four attempts on one shared source object. This remains non-lock-critical within the bounded provisional SUB surface."
26,The Boundary between SUB and RETYPE,"minimal_case: Use one trajectory first as a DECOMPOSE source and then as a PROJECT_AS source, with separate questions and outputs. restriction: Include a mere recontextualization comparison.",covered,admissible_with_bounded_claim,C54-DP1; C54-PD1; C38-X3; C28-SUBRETYPE-01,"Linked DECOMPOSE/PROJECT_AS occurrences, reverse-source return, and mere recontextualization are now separately instantiated."
27,SUB Boundary Conditions,"minimal_case: Compare an admissible decomposition, an overfine neutral/drift case, and a fragmentation case using explicit component counterfactual tests. restriction: Show one source-function rejection or claim reduction.",covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,"Positive, overfine/Stop, and fragmentation failures are instantiated; legacy route confirmed."
28,"SUB Cases, Countercases, and Local Audit",minimal_case: Include at least the three lock-critical cases plus operator-decomposition error and fragmentation without source function. artifact_set: - Markdown case - YAML record - local audit result - canonical output mapping,covered,admissible_but_provisional,C28 case corpus; C28 legacy substantive overflight,Chapter-28 case catalogue and substantive overflight are complete; SUB remains bounded provisional.
29,Functional Projection without Origin-Type Replacement,minimal_case: A documented trajectory is projected as a bounded frame-function in one later configuration while remaining a trajectory in its source record. required_contrast: Show the same trajectory in a second context where no additional target function is warranted.,covered,admissible_with_bounded_claim,C40-P1,Origin type remains trajectory; bounded target function and no-projection comparison are explicit. No new artifact required.
30,"PROJECT_AS: Signature, Context, and Validity Scope","minimal_case: One complete PROJECT_AS record with source, origin type, target context, target function, justification, constitutive trace, counterfactual test, loss, alternatives, scope, and result mapping. required_failure: A projection with an attractive target label but no source-dependent functional difference.",covered,admissible_with_bounded_claim,C40-P1; C40-N3,Complete positive PROJECT_AS record and source-insensitive label failure are instantiated. No new artifact required.
31,Trajectory as Frame-Function,minimal_case: A trajectory with sedimented expectations and asymmetric costs changes the set of credible interpretations in one later configuration. contrast_case: The same source history is present but does not change the target reconstruction because current conditions carry the full explanatory load.,covered,admissible_with_bounded_claim,C40-P1,"Bounded frame-function, comparison context, source trace, counterfactual defeat, and Loss are explicit. No new artifact required."
32,Trajectory as Macro-Event,"minimal_case: A multi-year trajectory is projected as one transition-bearing macro-event within a longer institutional path, with internal phases retained in the trace. failure_case: A broad era label with no specified start, end, transition effect, or source-dependent boundary.",covered,admissible_with_bounded_claim,C40-P2,Internal duration is retained; punctualization and causal turning-point inflation are rejected. No new artifact required.
33,Recurrent Trajectory Form as Attractor-Function,minimal_case: Three comparable trajectories share a constitutive transition pattern and measurable changes in friction or alternative cost; vary one load-bearing phase and show the function weaken. countercase: Several superficially similar sequences lack common mechanism and do not affect later continuation probabilities.,covered,admissible_with_bounded_claim,C40-P3,"Recurrent form, dynamic load, comparison field, source variation, and no-Α-identity boundary are explicit. No new artifact required."
34,Composite Structures as Higher-Level Functions,"minimal_case: Distributed local asymmetries jointly create a bounded higher-level access function through coordination and repeated load distribution. countercase: Numerous local differences coexist but do not coordinate, reinforce, or alter target-level praxis.",covered,admissible_with_bounded_claim,C47-CP1A/B/C,Relational formation and higher-level function are separated; nominal or source-insensitive continuity fails. No new artifact required.
35,"Operator Weighting, Modulation, and Emergent Functional Profiles","minimal_case: A configuration-bound Ω/Θ-dominant profile alters which continuation becomes costly, while all PMS dependencies and source occurrences remain explicit. countercase: A rhetorically named profile has no stable weighting criteria and produces no discriminable path difference.",covered,admissible_with_bounded_claim,C35-A1; C28-MODULATOR-01,The required positive Ω/Θ-weighted bounded profile function and modulation/new-operator boundary are instantiated.
36,Competing Projections,"minimal_case: The same trajectory supports a frame-function in context A and a macro-event function in context B; show compatibility. competition_case: In one target context, frame-function and attractor-function compete and require comparison or unresolved status.",covered,admissible_with_bounded_claim,C40-P7F/G; C40-P1 + C40-P2,Same-coordinate rivalry is provisionally retained; separated compatible functions are available across distinct target coordinates. No new artifact required.
37,"Projection, Structural Analogy, and Label Substitution","minimal_case: A cross-domain mapping is useful for comparing transition form but lacks semantic preservation and therefore ends as analogy_only. failure_case: A target receives an operator-derived label with no context, source trace, counterfactual test, or new discrimination.",covered,admissible_with_bounded_claim,C40-X6; C40-N3,Analogy-only and label substitution are directly discriminated. No new artifact required.
38,Invalid Type Jumps and Unmarked Level Mixing,minimal_case: A trajectory functions as a frame in context C and is then incorrectly declared to be a Frame operator or a stable property of an actor; classify each error separately. rescue_case: A failed source typing is relocated to another level without preserving the failure record.,covered,admissible_with_bounded_claim,C38-N1; C38-X3; C50-FP1A–D; C50-FP1X; C40-N7,"Origin-type replacement, recontextualization, projection-rescue preservation, granularity escape, and person-level type jump are separately routed."
39,RETYPE Boundary Conditions,minimal_case: A proposed frame-function has clear context but no source-dependent change and is reduced to background relevance or stopped. boundary_case: A cross-domain mapping passes formal tests but remains analogy_only because semantic preservation is unestablished.,covered,admissible_with_bounded_claim,C40-N3; C40-X6; C40-P7F/G; C40-N7,"Failure, analogy, provisionality, person-type prohibition, and bounded claim routing are all reachable. No new artifact required."
40,"RETYPE Cases, Countercases, and Local Audit","minimal_case: Include the three lock-critical cases plus a macro-event case, recurrent-form attractor case, competing-projection case, and person-level type-jump countercase. artifact_set: - Markdown case - YAML PROJECT_AS record - local audit result - canonical output mapping",covered,admissible_with_bounded_claim,7/7 Contract minimum; 10/10 Output Classes; six chain families,The Contract-minimum artifact set is complete. Full 20-family standalone production is not required; residual load-bearing families are isolated below. Final lock waits on Gap Packages A and B.
41,Why STRATA Must Bound Itself,minimal_case: A failed projection is followed by a finer decomposition and a broader composition; show that each move creates a new claim and cannot erase the initial failure. restriction: The case demonstrates the need for LIMITS without pre-empting the detailed tests of Chapters 44–53.,covered,admissible_with_bounded_claim,C50-FP1A–D; C50-FP1X,The required failed projection → finer decomposition → broader composition/new projection chain is executed with failure preservation.
42,No Ontology of Strata,"minimal_case: Rewrite an ontological statement about a macrostructure into a frame-, granularity-, and claim-bounded reconstruction. required_contrast: Show that two different granularities can both be legitimate without identifying one as the real layer.",covered,admissible_with_bounded_claim,Chapter 42 bounded reformulation; C54-CD1; C54-DC1; C28-OVERFINE-01,Analytical levels remain local; coarse and fine reconstructions can both remain legitimate without ontological promotion. No standalone case package required.
43,No Privilege of Finer Resolution or Higher Composition,minimal_case: Compare a coarse reconstruction that preserves a stable function with a finer reconstruction that reveals heterogeneous production conditions; retain both claims without collapse. required_failure: Show a finer reconstruction whose extra detail falls below the Relevance Floor.,covered,admissible_with_bounded_claim,C54-CD1; C54-DC1; C28-OVERFINE-01,"Non-invertibility, coarse/fine coexistence, and lower-bound failure are jointly instantiated. No new artifact required."
44,Praxeological Relevance Floor,"minimal_case: Add a plausible component distinction to a decomposition and show exactly which claim, cost distribution, or alternative changes. required_negative: Add further detail that changes nothing and classify it as resolution_neutral or mandatory_stop.",covered,admissible_with_bounded_claim,C28-GAIN-01; C17-RES-01; C28-OVERFINE-01,"Changed reconstruction, resolution neutrality, and mandatory lower Stop are all instantiated. The Contract does not require one shared-source package. No new artifact required."
45,Praxeological Traceability Ceiling,"minimal_case: Construct a macro-event claim with explicit load-bearing phases, preserved duration, and a source change that would alter the target claim. required_failure: Show an elastic macro-label that survives contradictory source structures and must be reduced or stopped.",covered,admissible_with_bounded_claim,C40-P2; C17-MACRO-01; C47-CP1C,Bounded macro trace and source-insensitive/elastic failure are explicit. No new artifact required.
46,Counterfactual Sensitivity,"minimal_case: For one operation of each kind, alter a declared load-bearing feature and state the expected target change and claim effect. required_failure: Show a target label that remains unchanged under opposite constitutive sources.",covered,admissible_with_bounded_claim,Integrated Operation Chains Batch 320; C47-CP1C,All three operations have material source-variation tests; source-insensitive projection failure remains explicit. No new artifact required.
47,"Reference, Type, and Function Continuity","minimal_case: Audit a COMPOSE → PROJECT_AS chain with separate reference, type, function, and temporal continuity results. required_failure: Show a projection where the source name persists but the historical referent and load-bearing relations have changed.",covered,admissible_with_bounded_claim,C47-CP1A/B/C,"Reference, type, function, temporal, Loss, and authority continuity are separated; nominal continuity fails. No new artifact required."
48,Compression Loss and Reconstruction Selection,"minimal_case: Compare loss profiles for one COMPOSE, DECOMPOSE, and PROJECT_AS record. required_failure: Show a target claim whose apparent coherence depends on hidden exclusion of a counterpath or asymmetry.",covered,admissible_with_bounded_claim,Batch 320; C53-CPD1C; C17-OMEGA-01,Operation-specific and inherited Loss are retained without chain overwrite. No new artifact required.
49,Source Limits and Calibration Limits,minimal_case: A structurally plausible decomposition reaches the Source Ceiling before the expected component relation can be established and receives a source-limited output. required_contrast: A calibration-open result identifies form while leaving the threshold explicitly unresolved.,covered,admissible_with_bounded_claim,C49-CAL1; C51-RE1; C28-UNSUPPORTED-01,Source Ceiling and a dedicated calibration-open result with bounded re-entry are instantiated.
50,Anti-Immunization,"minimal_case: Preserve a failed trajectory claim, then separately test a narrower path claim and a new target-function projection without rewriting the initial result. required_failure: Show a granularity shift used only to postpone an objection.",covered,admissible_with_bounded_claim,C50-FP1A–D; C50-FP1X,"The linked original failure, narrower claim, granularity-escape Stop, new composition, and new projection sequence is complete."
51,Stop Conditions,"minimal_case: Show one mandatory Stop below the Relevance Floor, one optional Stop after a sufficient bounded claim, and one later re-entry triggered by new sources. required_mapping: Map each result to canonical output classes.",covered,admissible_with_bounded_claim,C28-OVERFINE-01; C49-CAL1; C51-RE1,"Mandatory Stop, Optional Stop after sufficiency, and materially source-triggered re-entry are instantiated."
52,Non-Capture,minimal_case: A set of competing decompositions captures different load-bearing relations but cannot be integrated without destroying the source function; record partial capture and the unresolved remainder. required_contrast: Show a simple failed transformation that should not be mislabeled Non-Capture.,covered,admissible_with_bounded_claim,C52-NC1 plus failure contrasts,"Genuine adequate-attempt non_capture, partial captures, limiting discriminator, rivals, and re-entry conditions are explicit. No new artifact required."
53,Integrated STRATA Admissibility Audit,"minimal_case: Audit a COMPOSE → PROJECT_AS → DECOMPOSE chain with one bounded success, one claim reduction, preserved loss records, and explicit authority ceiling. required_failure: Show a syntactically complete chain that fails because its target remains source-insensitive.",covered,admissible_with_bounded_claim,C53-CPD1; C47-CP1C,"The required three-operation chain includes bounded success, claim reduction, preserved Loss, and source-insensitive failure. No new artifact required."
54,The Integrated STRATA Model,"minimal_case: One compact chain diagram showing formation, optional reopening, and bounded projection with independent records. restriction: No new case evidence or operation family is introduced.",covered,admissible_with_bounded_claim,Six minimum chain families; Chapter 54 synthesis; RETYPE/LIMITS final locks,"Formation, reopening, projection, independent Records, non-invertibility, and final upstream lock dependencies are complete."
55,What PMS-STRATA Provides,"minimal_case: For each major capability family, point to its established primary chapter and one bounded output. restriction: The inventory contains no new examples or promises.",covered,admissible_with_bounded_claim,Chapter 55 capability-owner matrix,Positive inventory is complete and introduces no new promises. No new case required.
56,What PMS-STRATA Does Not Provide,"minimal_case: Pair each principal positive provision with the corresponding prohibited inference. required_focus: Include no causal proof, no person typing, no authority inheritance, and no full-capture guarantee.",covered,admissible_with_bounded_claim,Chapter 56 provision/exclusion matrix,"No causal proof, person typing, authority inheritance, or full-capture guarantee is preserved. No new case required."
57,Final Claim Boundary,minimal_case: No new substantive case; include only the canonical transformation rule and final bounded formulation. consistency_check: Compare wording against all designated claim-boundary sites.,covered,admissible_with_bounded_claim,Chapter 57 final rule; Chapter 0/6/41/53/54/55/56 alignment; Conclusion Final Lock WP5,Final wording and upstream-lock consistency are complete; no substantive case is added.
