case_id,operation,markdown_artifact,yaml_artifact,package_markdown_artifact,pair_status
C28-OVERFINE-01,DECOMPOSE,03_cases/markdown/C28-OVERFINE-01_Overfine_Analysis_below_the_Relevance_Floor.md,03_cases/yaml/C28-OVERFINE-01_Overfine_Analysis_below_the_Relevance_Floor.yaml,,paired
C28-UNSUPPORTED-01,DECOMPOSE,03_cases/markdown/C28-UNSUPPORTED-01_Unsupported_Internal_Structure.md,03_cases/yaml/C28-UNSUPPORTED-01_Unsupported_Internal_Structure.yaml,,paired
C28-OPTYPE-01,DECOMPOSE,03_cases/markdown/C28-OPTYPE-01_Operator_Decomposition_Error.md,03_cases/yaml/C28-OPTYPE-01_Operator_Decomposition_Error.yaml,,paired
C28-FRAGMENT-01,DECOMPOSE,03_cases/markdown/C28-FRAGMENT-01_Fragmentation_without_Source_Function.md,03_cases/yaml/C28-FRAGMENT-01_Fragmentation_without_Source_Function.yaml,,paired
C28-ESCAPE-01,DECOMPOSE,03_cases/markdown/C28-ESCAPE-01_Resolution_Escape.md,03_cases/yaml/C28-ESCAPE-01_Resolution_Escape.yaml,,paired
C28-FALSEMACRO-01,DECOMPOSE,03_cases/markdown/C28-FALSEMACRO-01_False_Macro_Asymmetry.md,03_cases/yaml/C28-FALSEMACRO-01_False_Macro_Asymmetry.yaml,,paired
C28-SUBRETYPE-01,DECOMPOSE,03_cases/markdown/C28-SUBRETYPE-01_SUB_or_RETYPE.md,03_cases/yaml/C28-SUBRETYPE-01_SUB_or_RETYPE.yaml,,paired
C28-SUBPATH-01,DECOMPOSE,03_cases/markdown/C28-SUBPATH-01_SUB_or_New_PATH.md,03_cases/yaml/C28-SUBPATH-01_SUB_or_New_PATH.yaml,,paired
C28-ANALOGY-01,DECOMPOSE,03_cases/markdown/C28-ANALOGY-01_Decomposition_or_Analogy.md,03_cases/yaml/C28-ANALOGY-01_Decomposition_or_Analogy.yaml,,paired
C28-MODULATOR-01,DECOMPOSE,03_cases/markdown/C28-MODULATOR-01_Modulator_or_New_Operator.md,03_cases/yaml/C28-MODULATOR-01_Modulator_or_New_Operator.yaml,,paired
C40-P1,PROJECT_AS,03_cases/markdown/C40-P1_Trajectory_as_Bounded_Frame_Function.md,03_cases/yaml/C40-P1_Trajectory_as_Bounded_Frame_Function.yaml,,paired
C40-P2,PROJECT_AS,03_cases/markdown/C40-P2_Trajectory_as_Macro_Event.md,03_cases/yaml/C40-P2_Trajectory_as_Macro_Event.yaml,,paired
C40-P3,PROJECT_AS,03_cases/markdown/C40-P3_Recurrent_Trajectory_Form_as_Attractor_Function.md,03_cases/yaml/C40-P3_Recurrent_Trajectory_Form_as_Attractor_Function.yaml,,paired
C40-N3,PROJECT_AS,03_cases/markdown/C40-N3_PROJECT_AS_Label_Substitution_Failure.md,03_cases/yaml/C40-N3_PROJECT_AS_Label_Substitution_Failure.yaml,,paired
C40-X6,PROJECT_AS,03_cases/markdown/C40-X6_Projection_versus_Structural_Analogy.md,03_cases/yaml/C40-X6_Projection_versus_Structural_Analogy.yaml,,paired
C40-P7F,PROJECT_AS,03_cases/markdown/C40-P7F_Frame_Function_Candidate.md,03_cases/yaml/C40-P7F_Frame_Function_Candidate.yaml,03_cases/packages/C40-P7_Competing_Projections.md,paired
C40-P7G,PROJECT_AS,03_cases/markdown/C40-P7G_Attractor_Function_Candidate.md,03_cases/yaml/C40-P7G_Attractor_Function_Candidate.yaml,03_cases/packages/C40-P7_Competing_Projections.md,paired
C40-N7,PROJECT_AS,03_cases/markdown/C40-N7_Person_Level_Type_Jump.md,03_cases/yaml/C40-N7_Person_Level_Type_Jump.yaml,,paired
C52-NC1,DECOMPOSE,03_cases/markdown/C52-NC1_Competing_Decompositions_of_a_Compressed_Handoff_Occurrence.md,03_cases/yaml/C52-NC1_Competing_Decompositions_of_a_Compressed_Handoff_Occurrence.yaml,,paired
C47-CP1A,COMPOSE,03_cases/markdown/C47-CP1A_COMPOSE_Distributed_Access_Composite.md,03_cases/yaml/C47-CP1A_COMPOSE_Distributed_Access_Composite.yaml,03_cases/packages/C47-CP1_COMPOSE_to_PROJECT_AS_Continuity_Chain.md,paired
C47-CP1B,PROJECT_AS,03_cases/markdown/C47-CP1B_PROJECT_AS_Higher_Level_Access_Function.md,03_cases/yaml/C47-CP1B_PROJECT_AS_Higher_Level_Access_Function.yaml,03_cases/packages/C47-CP1_COMPOSE_to_PROJECT_AS_Continuity_Chain.md,paired
C47-CP1C,PROJECT_AS,03_cases/markdown/C47-CP1C_PROJECT_AS_Nominal_Referent_Shift_Failure.md,03_cases/yaml/C47-CP1C_PROJECT_AS_Nominal_Referent_Shift_Failure.yaml,03_cases/packages/C47-CP1_COMPOSE_to_PROJECT_AS_Continuity_Chain.md,paired
C54-CD1A,COMPOSE,03_cases/markdown/C54-CD1A_COMPOSE_Bounded_Path_P54.md,03_cases/yaml/C54-CD1A_COMPOSE_Bounded_Path_P54.yaml,03_cases/packages/C54-CD1_COMPOSE_to_DECOMPOSE_Non_Invertibility_Chain.md,paired
C54-CD1B,DECOMPOSE,03_cases/markdown/C54-CD1B_DECOMPOSE_Reopen_P54.md,03_cases/yaml/C54-CD1B_DECOMPOSE_Reopen_P54.yaml,03_cases/packages/C54-CD1_COMPOSE_to_DECOMPOSE_Non_Invertibility_Chain.md,paired
C54-DC1A,DECOMPOSE,03_cases/markdown/C54-DC1A_DECOMPOSE_B55.md,03_cases/yaml/C54-DC1A_DECOMPOSE_B55.yaml,03_cases/packages/C54-DC1_DECOMPOSE_to_COMPOSE_Reformation_Chain.md,paired
C54-DC1B,COMPOSE,03_cases/markdown/C54-DC1B_COMPOSE_K55.md,03_cases/yaml/C54-DC1B_COMPOSE_K55.yaml,03_cases/packages/C54-DC1_DECOMPOSE_to_COMPOSE_Reformation_Chain.md,paired
C54-DP1A,DECOMPOSE,03_cases/markdown/C54-DP1A_DECOMPOSE_H56.md,03_cases/yaml/C54-DP1A_DECOMPOSE_H56.yaml,03_cases/packages/C54-DP1_DECOMPOSE_to_PROJECT_AS_Threshold_Function_Chain.md,paired
C54-DP1B,PROJECT_AS,03_cases/markdown/C54-DP1B_PROJECT_AS_A56_Threshold_Function.md,03_cases/yaml/C54-DP1B_PROJECT_AS_A56_Threshold_Function.yaml,03_cases/packages/C54-DP1_DECOMPOSE_to_PROJECT_AS_Threshold_Function_Chain.md,paired
C54-PD1B,DECOMPOSE,03_cases/markdown/C54-PD1B_DECOMPOSE_Q0_Q5_Origin_Trajectory.md,03_cases/yaml/C54-PD1B_DECOMPOSE_Q0_Q5_Origin_Trajectory.yaml,03_cases/packages/C54-PD1_PROJECT_AS_to_DECOMPOSE_Origin_Source_Chain.md,paired
C53-CPD1C,DECOMPOSE,03_cases/markdown/C53-CPD1C_DECOMPOSE_Q47_Complete_Return_Claim.md,03_cases/yaml/C53-CPD1C_DECOMPOSE_Q47_Complete_Return_Claim.yaml,03_cases/packages/C53-CPD1_COMPOSE_PROJECT_AS_DECOMPOSE_Integrated_Audit_Chain.md,paired
C35-A1,PROJECT_AS,03_cases/markdown/C35-A1_PROJECT_AS_Operator_Weighting_Profile.md,03_cases/yaml/C35-A1_PROJECT_AS_Operator_Weighting_Profile.yaml,03_cases/packages/C35-A1_Operator_Weighting_Profile_and_RETYPE_Type_Boundary.md,paired
C38-N1,PROJECT_AS,03_cases/markdown/C38-N1_PROJECT_AS_Origin_Type_Replacement_Failure.md,03_cases/yaml/C38-N1_PROJECT_AS_Origin_Type_Replacement_Failure.yaml,03_cases/packages/C35-A1_Operator_Weighting_Profile_and_RETYPE_Type_Boundary.md,paired
C38-X3,PROJECT_AS,03_cases/markdown/C38-X3_PROJECT_AS_or_Recontextualization_Failure.md,03_cases/yaml/C38-X3_PROJECT_AS_or_Recontextualization_Failure.yaml,03_cases/packages/C35-A1_Operator_Weighting_Profile_and_RETYPE_Type_Boundary.md,paired
C50-FP1A,PROJECT_AS,03_cases/markdown/C50-FP1A_PROJECT_AS_Failed_Coarse_Frame_Function.md,03_cases/yaml/C50-FP1A_PROJECT_AS_Failed_Coarse_Frame_Function.yaml,03_cases/packages/C50-FP1_Failure_Preservation_and_Projection_Rescue_Chain.md,paired
C50-FP1B,DECOMPOSE,03_cases/markdown/C50-FP1B_DECOMPOSE_Narrower_Path_Reconstruction.md,03_cases/yaml/C50-FP1B_DECOMPOSE_Narrower_Path_Reconstruction.yaml,03_cases/packages/C50-FP1_Failure_Preservation_and_Projection_Rescue_Chain.md,paired
C50-FP1X,DECOMPOSE,03_cases/markdown/C50-FP1X_DECOMPOSE_Granularity_Escape_Stop.md,03_cases/yaml/C50-FP1X_DECOMPOSE_Granularity_Escape_Stop.yaml,03_cases/packages/C50-FP1_Failure_Preservation_and_Projection_Rescue_Chain.md,paired
C50-FP1C,COMPOSE,03_cases/markdown/C50-FP1C_COMPOSE_Broader_Coordination_Composite.md,03_cases/yaml/C50-FP1C_COMPOSE_Broader_Coordination_Composite.yaml,03_cases/packages/C50-FP1_Failure_Preservation_and_Projection_Rescue_Chain.md,paired
C50-FP1D,PROJECT_AS,03_cases/markdown/C50-FP1D_PROJECT_AS_New_Threshold_Function.md,03_cases/yaml/C50-FP1D_PROJECT_AS_New_Threshold_Function.yaml,03_cases/packages/C50-FP1_Failure_Preservation_and_Projection_Rescue_Chain.md,paired
C49-CAL1,PROJECT_AS,03_cases/markdown/C49-CAL1_PROJECT_AS_Calibration_Open_Threshold_Function.md,03_cases/yaml/C49-CAL1_PROJECT_AS_Calibration_Open_Threshold_Function.yaml,03_cases/packages/C49-CAL1_Calibration_Open_Result_Optional_Stop_and_Reentry.md,paired
C51-RE1,PROJECT_AS,03_cases/markdown/C51-RE1_PROJECT_AS_Reentry_After_New_Sources.md,03_cases/yaml/C51-RE1_PROJECT_AS_Reentry_After_New_Sources.yaml,03_cases/packages/C49-CAL1_Calibration_Open_Result_Optional_Stop_and_Reentry.md,paired
